path,melody,cond,prompt
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt6_alternating_probe_low.wav,alternating,probe_0.03,prompt6
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt6_alternating_probe_mid.wav,alternating,probe_0.05,prompt6
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt6_alternating_probe_strong.wav,alternating,probe_0.2,prompt6
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt6_ascending_baseline.wav,ascending,baseline,prompt6
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt6_ascending_combined.wav,ascending,combined,prompt6
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt6_ascending_itc.wav,ascending,itc,prompt6
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt6_ascending_probe_high.wav,ascending,probe_0.1,prompt6
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt6_ascending_probe_low.wav,ascending,probe_0.03,prompt6
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt6_ascending_probe_mid.wav,ascending,probe_0.05,prompt6
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt6_ascending_probe_strong.wav,ascending,probe_0.2,prompt6
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt6_descending_baseline.wav,descending,baseline,prompt6
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt6_descending_combined.wav,descending,combined,prompt6
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt6_descending_itc.wav,descending,itc,prompt6
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt6_descending_probe_high.wav,descending,probe_0.1,prompt6
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt6_descending_probe_low.wav,descending,probe_0.03,prompt6
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt6_descending_probe_mid.wav,descending,probe_0.05,prompt6
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt6_descending_probe_strong.wav,descending,probe_0.2,prompt6
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt7_alternating_baseline.wav,alternating,baseline,prompt7
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt7_alternating_combined.wav,alternating,combined,prompt7
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt7_alternating_itc.wav,alternating,itc,prompt7
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt7_alternating_probe_high.wav,alternating,probe_0.1,prompt7
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt7_alternating_probe_low.wav,alternating,probe_0.03,prompt7
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt7_alternating_probe_mid.wav,alternating,probe_0.05,prompt7
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt7_alternating_probe_strong.wav,alternating,probe_0.2,prompt7
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt7_ascending_baseline.wav,ascending,baseline,prompt7
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt7_ascending_combined.wav,ascending,combined,prompt7
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt7_ascending_itc.wav,ascending,itc,prompt7
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt7_ascending_probe_high.wav,ascending,probe_0.1,prompt7
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt7_ascending_probe_low.wav,ascending,probe_0.03,prompt7
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt7_ascending_probe_mid.wav,ascending,probe_0.05,prompt7
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt7_ascending_probe_strong.wav,ascending,probe_0.2,prompt7
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt7_descending_baseline.wav,descending,baseline,prompt7
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt7_descending_combined.wav,descending,combined,prompt7
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt7_descending_itc.wav,descending,itc,prompt7
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt7_descending_probe_high.wav,descending,probe_0.1,prompt7
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt7_descending_probe_low.wav,descending,probe_0.03,prompt7
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt7_descending_probe_mid.wav,descending,probe_0.05,prompt7
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt7_descending_probe_strong.wav,descending,probe_0.2,prompt7
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt8_alternating_baseline.wav,alternating,baseline,prompt8
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt8_alternating_combined.wav,alternating,combined,prompt8
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt8_alternating_itc.wav,alternating,itc,prompt8
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt8_alternating_probe_high.wav,alternating,probe_0.1,prompt8
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt8_alternating_probe_low.wav,alternating,probe_0.03,prompt8
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt8_alternating_probe_mid.wav,alternating,probe_0.05,prompt8
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt8_alternating_probe_strong.wav,alternating,probe_0.2,prompt8
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt8_ascending_baseline.wav,ascending,baseline,prompt8
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt8_ascending_combined.wav,ascending,combined,prompt8
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt8_ascending_itc.wav,ascending,itc,prompt8
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt8_ascending_probe_high.wav,ascending,probe_0.1,prompt8
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt8_ascending_probe_low.wav,ascending,probe_0.03,prompt8
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt8_ascending_probe_mid.wav,ascending,probe_0.05,prompt8
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt8_ascending_probe_strong.wav,ascending,probe_0.2,prompt8
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt8_descending_baseline.wav,descending,baseline,prompt8
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt8_descending_combined.wav,descending,combined,prompt8
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt8_descending_itc.wav,descending,itc,prompt8
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt8_descending_probe_high.wav,descending,probe_0.1,prompt8
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt8_descending_probe_low.wav,descending,probe_0.03,prompt8
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt8_descending_probe_mid.wav,descending,probe_0.05,prompt8
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt8_descending_probe_strong.wav,descending,probe_0.2,prompt8
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt9_alternating_baseline.wav,alternating,baseline,prompt9
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt9_alternating_combined.wav,alternating,combined,prompt9
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt9_alternating_itc.wav,alternating,itc,prompt9
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt9_alternating_probe_high.wav,alternating,probe_0.1,prompt9
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt9_alternating_probe_low.wav,alternating,probe_0.03,prompt9
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt9_alternating_probe_mid.wav,alternating,probe_0.05,prompt9
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt9_alternating_probe_strong.wav,alternating,probe_0.2,prompt9
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt9_ascending_baseline.wav,ascending,baseline,prompt9
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt9_ascending_combined.wav,ascending,combined,prompt9
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt9_ascending_itc.wav,ascending,itc,prompt9
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt9_ascending_probe_high.wav,ascending,probe_0.1,prompt9
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt9_ascending_probe_low.wav,ascending,probe_0.03,prompt9
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt9_ascending_probe_mid.wav,ascending,probe_0.05,prompt9
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt9_ascending_probe_strong.wav,ascending,probe_0.2,prompt9
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt9_descending_baseline.wav,descending,baseline,prompt9
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt9_descending_combined.wav,descending,combined,prompt9
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt9_descending_itc.wav,descending,itc,prompt9
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt9_descending_probe_high.wav,descending,probe_0.1,prompt9
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt9_descending_probe_low.wav,descending,probe_0.03,prompt9
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt9_descending_probe_mid.wav,descending,probe_0.05,prompt9
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt9_descending_probe_strong.wav,descending,probe_0.2,prompt9
