coh_true,coh_first,coh_best_const,best_const_pc,frac_F,voiced_cov,hist,slot_acc,file,method,melody,prompt
0.22631578947368422,0.5684210526315789,0.5684210526315789,5,0.6809338521400778,0.5523255813953488,"[0.062, 0.14, 0.0, 0.0, 0.0, 0.681, 0.0, 0.0, 0.0, 0.0, 0.117, 0.0]","[0.5, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 1.0]",prompt2_descending_probe_high.wav,probe_high,descending,2
0.22966507177033493,0.47368421052631576,0.47368421052631576,5,0.5703125,0.6075581395348837,"[0.223, 0.098, 0.0, 0.02, 0.0, 0.57, 0.0, 0.0, 0.0, 0.004, 0.062, 0.023]","[1.0, 0.0, 0.0, 0.8333333333333334, 0.0, 0.0, 0.0, 0.8928571428571429]",prompt2_descending_probe_low.wav,probe_low,descending,2
0.26903553299492383,0.4873096446700508,0.4873096446700508,5,0.6023622047244095,0.5726744186046512,"[0.11, 0.146, 0.0, 0.0, 0.0, 0.602, 0.0, 0.016, 0.0, 0.0, 0.126, 0.0]","[0.45454545454545453, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.8974358974358975]",prompt2_descending_probe_mid.wav,probe_mid,descending,2
0.23036649214659685,0.518324607329843,0.518324607329843,5,0.6461538461538462,0.5552325581395349,"[0.096, 0.131, 0.0, 0.0, 0.0, 0.646, 0.0, 0.012, 0.0, 0.0, 0.115, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.9230769230769231]",prompt2_descending_probe_strong.wav,probe_strong,descending,2
0.19844357976653695,0.0,0.6536964980544747,3,0.0,0.8538205980066446,"[0.094, 0.115, 0.003, 0.44, 0.003, 0.0, 0.0, 0.0, 0.183, 0.003, 0.157, 0.003]","[0.0, 0.0, 0.39285714285714285, 0.0, 0.0, 1.0, 0.0]",prompt3_alternating_baseline.wav,baseline,alternating,3
0.25206611570247933,0.5495867768595041,0.5495867768595041,5,0.5652173913043478,0.8039867109634552,"[0.003, 0.0, 0.003, 0.254, 0.087, 0.565, 0.0, 0.01, 0.077, 0.0, 0.0, 0.0]","[0.8235294117647058, 0.0, 0.0, 0.19230769230769232, 0.0, 0.0, 0.8]",prompt3_alternating_combined.wav,combined,alternating,3
0.15079365079365079,0.0,0.7738095238095238,3,0.0,0.8372093023255814,"[0.202, 0.047, 0.0, 0.512, 0.0, 0.0, 0.0, 0.0, 0.079, 0.0, 0.147, 0.013]","[0.0, 0.0, 0.48148148148148145, 0.0, 0.0, 0.6944444444444444, 0.0]",prompt3_alternating_itc.wav,itc,alternating,3
0.26,0.692,0.692,5,0.7806267806267806,0.8305647840531561,"[0.0, 0.0, 0.0, 0.188, 0.031, 0.781, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.21428571428571427, 0.0, 0.0, 1.0]",prompt3_alternating_probe_high.wav,probe_high,alternating,3
0.21610169491525424,0.22033898305084745,0.4872881355932203,3,0.14647887323943662,0.7840531561461794,"[0.031, 0.304, 0.0, 0.324, 0.0, 0.146, 0.0, 0.0, 0.194, 0.0, 0.0, 0.0]","[0.0, 0.8333333333333334, 0.0, 0.15625, 0.0, 0.7428571428571429, 0.0]",prompt3_alternating_probe_low.wav,probe_low,alternating,3
0.17543859649122806,0.5570175438596491,0.5570175438596491,5,0.61003861003861,0.7574750830564784,"[0.0, 0.0, 0.0, 0.317, 0.073, 0.61, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.6756756756756757, 0.0, 0.0, 0.2727272727272727, 0.0, 0.0, 0.5]",prompt3_alternating_probe_mid.wav,probe_mid,alternating,3
0.29924242424242425,0.7083333333333334,0.7083333333333334,5,0.7957559681697612,0.8770764119601329,"[0.0, 0.0, 0.0, 0.164, 0.04, 0.796, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.21428571428571427, 0.0, 0.0, 1.0]",prompt3_alternating_probe_strong.wav,probe_strong,alternating,3
0.15436241610738255,0.0,0.5637583892617449,3,0.0,0.8662790697674418,"[0.094, 0.115, 0.003, 0.44, 0.003, 0.0, 0.0, 0.0, 0.183, 0.003, 0.157, 0.003]","[0.0, 0.0, 0.42857142857142855, 0.0, 0.0, 0.0, 0.8947368421052632, 0.0]",prompt3_ascending_baseline.wav,baseline,ascending,3
0.15925925925925927,0.26296296296296295,0.43703703703703706,3,0.2608695652173913,0.7848837209302325,"[0.019, 0.152, 0.0, 0.366, 0.037, 0.261, 0.0, 0.0, 0.165, 0.0, 0.0, 0.0]","[0.3448275862068966, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8918918918918919, 0.0]",prompt3_ascending_combined.wav,combined,ascending,3
0.10884353741496598,0.0,0.6632653061224489,3,0.0,0.8546511627906976,"[0.202, 0.047, 0.0, 0.512, 0.0, 0.0, 0.0, 0.0, 0.079, 0.0, 0.147, 0.013]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8648648648648649, 0.0]",prompt3_ascending_itc.wav,itc,ascending,3
0.2282958199356913,0.7138263665594855,0.7138263665594855,5,0.7729591836734694,0.9040697674418605,"[0.0, 0.0, 0.0, 0.12, 0.107, 0.773, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.7777777777777778, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",prompt3_ascending_probe_high.wav,probe_high,ascending,3
0.1288135593220339,0.17966101694915254,0.4745762711864407,3,0.1402116402116402,0.8575581395348837,"[0.019, 0.296, 0.003, 0.37, 0.082, 0.14, 0.005, 0.0, 0.082, 0.0, 0.003, 0.0]","[0.02702702702702703, 0.0, 0.0, 0.0, 0.0, 0.0, 0.925, 0.0]",prompt3_ascending_probe_low.wav,probe_low,ascending,3
0.25263157894736843,0.3649122807017544,0.4,3,0.2913165266106443,0.8284883720930233,"[0.0, 0.202, 0.0, 0.319, 0.053, 0.291, 0.0, 0.0, 0.134, 0.0, 0.0, 0.0]","[0.3235294117647059, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8918918918918919, 0.7777777777777778]",prompt3_ascending_probe_mid.wav,probe_mid,ascending,3
0.2576271186440678,0.7288135593220338,0.7288135593220338,5,0.7877984084880637,0.8575581395348837,"[0.0, 0.0, 0.0, 0.119, 0.085, 0.788, 0.003, 0.003, 0.003, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",prompt3_ascending_probe_strong.wav,probe_strong,ascending,3
0.2550335570469799,0.0,0.5637583892617449,3,0.0,0.8662790697674418,"[0.094, 0.115, 0.003, 0.44, 0.003, 0.0, 0.0, 0.0, 0.183, 0.003, 0.157, 0.003]","[0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",prompt3_descending_baseline.wav,baseline,descending,3
0.09818181818181818,0.22545454545454546,0.32727272727272727,3,0.17174515235457063,0.7994186046511628,"[0.0, 0.31, 0.022, 0.249, 0.094, 0.172, 0.0, 0.0, 0.152, 0.0, 0.0, 0.0]","[0.20833333333333334, 0.0, 0.0, 0.0, 0.0, 0.6285714285714286, 0.0, 0.0]",prompt3_descending_combined.wav,combined,descending,3
0.26013513513513514,0.0,0.668918918918919,3,0.0,0.8604651162790697,"[0.167, 0.111, 0.0, 0.525, 0.0, 0.0, 0.0, 0.0, 0.074, 0.0, 0.117, 0.005]","[0.0, 1.0, 0.6666666666666666, 0.0, 0.0, 0.6388888888888888, 0.0, 0.0]",prompt3_descending_itc.wav,itc,descending,3
0.2422145328719723,0.615916955017301,0.615916955017301,5,0.6696428571428571,0.8401162790697675,"[0.0, 0.0, 0.0, 0.202, 0.128, 0.67, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.8378378378378378, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",prompt3_descending_probe_high.wav,probe_high,descending,3
0.09688581314878893,0.17301038062283736,0.4844290657439446,3,0.13333333333333333,0.8401162790697675,"[0.067, 0.259, 0.005, 0.373, 0.083, 0.133, 0.003, 0.0, 0.077, 0.0, 0.0, 0.0]","[0.058823529411764705, 0.0, 0.0, 0.0, 0.0, 0.7428571428571429, 0.0, 0.0]",prompt3_descending_probe_low.wav,probe_low,descending,3
0.13414634146341464,0.3008130081300813,0.3902439024390244,3,0.22289156626506024,0.7151162790697675,"[0.0, 0.253, 0.006, 0.289, 0.075, 0.223, 0.0, 0.0, 0.154, 0.0, 0.0, 0.0]","[0.35294117647058826, 0.0, 0.0, 0.0, 0.0, 0.6176470588235294, 0.0, nan]",prompt3_descending_probe_mid.wav,probe_mid,descending,3
0.25418060200668896,0.745819397993311,0.745819397993311,5,0.7973333333333333,0.8691860465116279,"[0.0, 0.0, 0.0, 0.112, 0.091, 0.797, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",prompt3_descending_probe_strong.wav,probe_strong,descending,3
0.09829059829059829,0.405982905982906,0.405982905982906,5,0.4964788732394366,0.7774086378737541,"[0.141, 0.007, 0.011, 0.004, 0.0, 0.496, 0.025, 0.162, 0.004, 0.127, 0.004, 0.021]","[0.6388888888888888, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",prompt4_alternating_baseline.wav,baseline,alternating,4
0.4721030042918455,0.7896995708154506,0.7896995708154506,5,0.849112426035503,0.7740863787375415,"[0.068, 0.0, 0.0, 0.0, 0.009, 0.849, 0.009, 0.065, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.925, 0.6052631578947368, 0.0, 1.0]",prompt4_alternating_combined.wav,combined,alternating,4
0.24083769633507854,0.47643979057591623,0.47643979057591623,5,0.6133828996282528,0.6345514950166113,"[0.16, 0.004, 0.071, 0.0, 0.004, 0.613, 0.041, 0.097, 0.011, 0.0, 0.0, 0.0]","[0.7307692307692307, 0.0, 0.0, 0.0, 0.78125, 0.0, 0.07692307692307693]",prompt4_alternating_itc.wav,itc,alternating,4
0.4024390243902439,0.7398373983739838,0.7398373983739838,5,0.8104956268221575,0.8172757475083057,"[0.12, 0.003, 0.0, 0.0, 0.0, 0.81, 0.003, 0.064, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 1.0, 0.5142857142857142, 0.0, 0.37142857142857144]",prompt4_alternating_probe_high.wav,probe_high,alternating,4
